id,number,title,user,state,created_at,closed_at,comments,open_duration_days
3523921670,271858,launch cli in terminal directly requires /login,rebornix,open,2025-10-17T00:07:25+00:00,,0,
3523905084,271857,mcp autostart: make it configurable on a per-server basis,skissane-medallia,open,2025-10-17T00:02:13+00:00,,0,
3523866745,271855,chat,yamisenseimaster,open,2025-10-16T23:47:29+00:00,,2,
3523847061,271852,Cannot read properties of undefined (reading 'toLowerCase'),craxal,open,2025-10-16T23:38:42+00:00,,0,
3523791859,271850,jsdoc hyphens after a @param tag are not fully ignored,marcustyphoon,open,2025-10-16T23:12:34+00:00,,0,
3523761054,271848,error,ThreeOneOneZero,closed,2025-10-16T22:58:25+00:00,2025-10-16T23:05:05+00:00,1,0.004629629629629629
3523754664,271847,Cannot read properties of ,smitchamwork,closed,2025-10-16T22:55:54+00:00,2025-10-16T23:05:11+00:00,2,0.006446759259259259
3523754098,271846,Getting response Cannot read properties of undefined (reading 'toLowerCase'),freos08,closed,2025-10-16T22:55:41+00:00,2025-10-16T23:05:49+00:00,1,0.007037037037037037
3523753973,271844,"Dozens of git.exe processes in Windows repo, leading to system thrash",headerjson,open,2025-10-16T22:55:39+00:00,,0,
3523748723,271843,Github copilot Chat not sending requests,dipakboyed,open,2025-10-16T22:52:58+00:00,,3,
3523744196,271842,Unable to Sign in via github,brucetan-displayr,open,2025-10-16T22:49:58+00:00,,0,
3523742931,271841,cannot send message,MahmoudMetwally2699,closed,2025-10-16T22:49:00+00:00,2025-10-16T23:06:23+00:00,1,0.01207175925925926
3523741628,271840,lỗi không thể gửi chat,nguyenthanhbinh0411,closed,2025-10-16T22:48:22+00:00,2025-10-16T23:06:26+00:00,3,0.012546296296296297
3523740742,271839,lỗi không thể gửi chat,nguyenthanhbinh0411,closed,2025-10-16T22:47:51+00:00,2025-10-16T23:06:28+00:00,3,0.01292824074074074
3523738400,271837,Port Forwarding,anasyd,open,2025-10-16T22:46:23+00:00,,0,
3523728870,271836,Chat sidebar not working,SantoStorace,closed,2025-10-16T22:39:37+00:00,2025-10-16T22:42:47+00:00,2,0.002199074074074074
3523727729,271835,Cannot send chat message to agent,elfuerte211,closed,2025-10-16T22:38:48+00:00,2025-10-16T23:06:32+00:00,8,0.01925925925925926
3523722265,271834,Doesnt give an anwser,sioXD,closed,2025-10-16T22:35:30+00:00,2025-10-16T23:06:35+00:00,1,0.02158564814814815
3523722228,271833,Chat not working,JennyTheGem,closed,2025-10-16T22:35:28+00:00,2025-10-16T23:06:37+00:00,1,0.021631944444444443
3523715470,271832,Cannot read properties of undefined (reading 'toLowerCase'),EnderGamer6112,closed,2025-10-16T22:31:33+00:00,2025-10-16T23:06:39+00:00,2,0.024375
